file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,107,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,12
style.css,108,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,58
style.css,109,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,7
style.css,110,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,17
style.css,111,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,0
style.css,112,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,17
style.css,113,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,0
style.css,114,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,12
style.css,115,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,26
style.css,116,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,15
style.css,117,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,19
style.css,118,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,14
style.css,119,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,47
style.css,120,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,17
style.css,121,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,0
style.css,122,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,12
style.css,123,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,8
style.css,124,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,0
style.css,125,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,13
style.css,126,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,10
style.css,127,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,11
style.css,128,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,13
style.css,129,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,1,17
style.css,130,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,0,0
style.css,131,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,0,13
style.css,132,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,1,12
